index,type,name,resident,streamed,parentStack
1,string,,122604,0,||assetlist
2,xmodelmesh,wpn_t7_zmb_perk_bottle_lod1d4e62fe0,1440,0,|perk_bottle_death_perception|xmodel|zombie_perk_bottle_death_perception|weapon|spx_death_perception.zpkg|csv|zone_source/zm_countryside.zone|csv
3,xmodelmesh,p7_ladder_metal_secured_cap_lod07b6ecf54,1536,0,|p7_ladder_metal_secured_cap|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
4,xmodelmesh,p7_zm_der_light_bulb_small_lod051d2f25a,1136,0,|p7_zm_der_light_bulb_small|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
5,xmodelmesh,p7_zm_der_pswitch_body_lod0324925aa,2496,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
6,xmodelmesh,p7_sink_bathroom_lod49b17588c,1008,0,|p7_sink_bathroom|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
7,xmodelmesh,p7_washing_machine_lod47e3a610d,1648,0,|p7_washing_machine|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
8,xmodelmesh,p7_television_wall_xl_lod0e5a40a8a,1424,0,|p7_television_wall_xl|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
9,xmodelmesh,p7_chair_office_modern_lod0b10d85d3,3856,0,|p7_chair_office_modern|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
10,xmodelmesh,p7_furniture_couch_small_lod0ad61a6a4,2016,0,|p7_furniture_couch_small|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
11,xmodelmesh,p7_trashcan_modern_lod5885ae793,2000,0,|p7_trashcan_modern_worn|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
12,xmodelmesh,p7_chair_cafe_wood_lod3b281ca00,1232,0,|p7_chair_cafe_wood|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
13,xmodelmesh,p7_cai_chair_cafe_01_lod71ae12ebf,352,4400,|p7_cai_chair_cafe_01_dirty|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
14,xmodelmesh,p7_zm_ver_chair_wood_drk_lod7f1d8af5b,1264,0,|p7_zm_ver_chair_wood_drk|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
15,xmodelmesh,p7_chair_diner_lod0d9677a10,2288,0,|p7_chair_stool_diner|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
16,xmodelmesh,p7_chair_dining_french_lod6b29a4880,2224,0,|p7_chair_dining_french|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
17,xmodelmesh,p7_wes_door_wood_full_left_lod0d251a225,1648,0,|p7_wes_door_wood_full_left|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
18,xmodelmesh,p7_debris_wood_plywood_2x8_bowed_lod0341eff9,1616,0,|p7_debris_wood_plywood_2x8_bowed_dirty|xmodel|maps/zm/zm_countryside.d3dbsp|gfx_map|zone_source/zm_countryside.zone|csv
19,xmodelmesh,p7_zm_der_pswitch_handle_lod09e863e5e,1648,0,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
20,xmodelmesh,p7_anim_zm_barricade_board_01_lod08c31ae6e,1728,0,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
