index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,localize,HB21_ZM_PERKS_PHDFLOPPER,78,0,||assetlist
3,localize,HB21_ZM_PERKS_TOMBSTONE,73,0,||assetlist
4,localize,HB21_ZM_PERKS_ELECTRIC_CHERRY,85,0,||assetlist
5,localize,HB21_ZM_PERKS_VULTUREAID,76,0,||assetlist
6,localize,HB21_ZM_PERKS_WHOSWHO,71,0,||assetlist
7,localize,HB21_ZM_PERKS_ELEMENTAL_POP,81,0,||assetlist
8,techset,mc/vegetation#e6142445,24,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
9,material,mc/mtl_gib_chunk_set,22,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
10,physpreset,gib,5,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
11,xmodel,p7_gib_chunk_meat_01,22,0,|zone_source/loc/zm_countryside.zone|csv
12,techset,mc/lit_decal_diffuse_spec_gloss#e6142445,42,0,|mc/mtl_c_gen_gib_gore_leg_calf_a|material|zone_source/loc/zm_countryside.zone|csv
13,material,mc/mtl_c_gen_gib_gore_arm_right_a,35,0,|zone_source/loc/zm_countryside.zone|csv
14,xmodel,p7_gib_chunk_meat_02,22,0,|zone_source/loc/zm_countryside.zone|csv
15,xmodel,p7_gib_chunk_meat_03,22,0,|zone_source/loc/zm_countryside.zone|csv
16,xmodel,p7_gib_chunk_flesh_01,23,0,|zone_source/loc/zm_countryside.zone|csv
17,xmodel,p7_gib_chunk_flesh_03,23,0,|zone_source/loc/zm_countryside.zone|csv
18,xmodel,p7_gib_chunk_bone_03,22,0,|zone_source/loc/zm_countryside.zone|csv
19,techset,mc/lit_plus#e6142445,22,0,|mc/mtl_c_gen_gib_gore_leg_calf|material|zone_source/loc/zm_countryside.zone|csv
20,material,mc/mtl_c_gen_gib_gore_arm_right,33,0,|zone_source/loc/zm_countryside.zone|csv
21,material,mc/mtl_c_gen_gib_gore_leg_thigh,33,0,|zone_source/loc/zm_countryside.zone|csv
22,material,mc/mtl_c_gen_gib_gore_leg_thigh_a,35,0,|zone_source/loc/zm_countryside.zone|csv
23,material,mc/mtl_c_gen_gib_gore_leg_calf_a,34,0,|zone_source/loc/zm_countryside.zone|csv
24,material,mc/mtl_c_gen_gib_gore_leg_calf,32,0,|zone_source/loc/zm_countryside.zone|csv
25,sound,zm_countryside.en,44,0,||assetlist
26,keyvaluepairs,en_zm_countryside,6060,0,||assetlist
27,image,i_mtl_p7_gib_chunk_set_c,26,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
28,image,i_mtl_p7_gib_chunk_set_n,26,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
